Gender,Age,Income (USD),Income Stability,Profession,Type of Employment,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Property Location,Co-Applicant,Property Price,Loan Sanction Amount (USD),Loan sanctioned
F,25.0,1395.23,Low,Working,Laborers,Rural,38784.96,312.04,1.0,687.54,0,Inactive,Rural,1,70402.77,27149.47,True
F,65.0,1345.33,High,Pensioner,Retired,Semi-Urban,58719.93,166.69,1.0,792.19,0,Active,Urban,0,89073.93,46975.94,True
M,25.0,0.0,Low,State servant,Medicine staff,Urban,246597.03749999998,666.17,1.0,845.35,0,Unpossessed,Semi-Urban,1,369850.44375,177270.41499999998,True
M,40.0,2256.9,Low,Working,Sales staff,Semi-Urban,56374.14,275.59,0.0,712.26,0,Unpossessed,Semi-Urban,1,76961.51,36643.19,True
F,32.0,1917.54,Low,Commercial associate,Sales staff,Semi-Urban,110305.49,0.0,3.0,737.47,1,Unpossessed,Rural,1,170604.8,71698.57,True
F,64.0,2383.88,High,Pensioner,Retired,Semi-Urban,94304.67,331.76,1.0,873.72,0,Active,Urban,0,159299.82,75443.74,True
M,25.0,0.0,Low,Commercial associate,Managers,Semi-Urban,122484.45,349.86,2.0,708.3,0,Inactive,Semi-Urban,1,149461.31,85739.12,True
M,18.0,3068.1,Low,Commercial associate,Drivers,Rural,140088.79,403.45,2.0,726.11,0,Unpossessed,Semi-Urban,1,202394.0,98062.15,True
F,41.0,0.0,Low,Working,Not available,Semi-Urban,7666.92,80.48,4.0,684.14,0,Active,Semi-Urban,1,11041.11,4983.5,True
M,19.0,1276.51,Low,Working,Laborers,Semi-Urban,28108.63,129.82,4.0,668.73,0,Unpossessed,Rural,1,49175.43,19676.04,True
F,35.0,2779.3,Low,Working,High skill tech staff,Urban,109785.62,594.63,5.0,807.39,1,Inactive,Urban,1,180786.38,82339.22,True
F,28.0,1553.34,Low,Working,Laborers,Rural,109779.19,467.07,5.0,720.74,0,Unpossessed,Semi-Urban,1,129780.73,76845.43,True
F,18.0,0.0,Low,Commercial associate,Cooking staff,Urban,87514.92,478.17,0.0,791.23,0,Inactive,Rural,1,101389.24,65636.19,True
M,18.0,3427.23,Low,Working,Drivers,Rural,64427.05,723.68,3.0,684.65,0,Unpossessed,Semi-Urban,1,101056.16,45098.94,True
F,61.0,3496.85,Low,Working,Sales staff,Semi-Urban,175467.92,802.03,1.0,773.79,1,Inactive,Urban,1,301466.79,122827.54,True
M,59.0,2844.55,Low,Commercial associate,Core staff,Semi-Urban,131050.78,411.94,3.0,727.58,1,Active,Semi-Urban,1,177418.52,85183.01,True
F,47.0,2795.43,Low,State servant,Managers,Semi-Urban,39346.8,201.28,4.0,783.93,0,Unpossessed,Semi-Urban,1,74328.89,27542.76,True
M,18.0,1676.6,Low,Working,Sales staff,Rural,30368.33,175.61,3.0,691.17,0,Unpossessed,Rural,1,43019.87,21257.83,True
F,19.0,4948.66,Low,Working,Not available,Semi-Urban,231163.16,946.50875,2.0,798.95,1,Unpossessed,Rural,1,369850.44375,177270.41499999998,True
M,35.0,1755.05,Low,Working,Laborers,Rural,41417.36,215.93,2.0,798.79,1,Inactive,Semi-Urban,1,56623.09,31063.02,True
F,64.0,1975.22,Low,Working,Laborers,Semi-Urban,31672.88,280.21,2.0,668.17,0,Inactive,Semi-Urban,1,49795.21,22171.02,True
F,47.0,979.13,Low,Working,Cleaning staff,Semi-Urban,52872.11,250.49,2.0,683.58,0,Active,Rural,1,75633.77,37010.48,True
F,45.0,0.0,Low,Working,Drivers,Rural,102012.88,490.26,4.0,669.96,1,Active,Urban,1,189237.75,71409.02,True
M,62.0,4840.19,High,Pensioner,Retired,Urban,135733.59,785.69,2.0,693.26,0,Active,Rural,1,175778.88,88226.83,True
F,45.0,0.0,Low,Commercial associate,Not available,Semi-Urban,72849.77,371.78,1.0,690.53,0,Inactive,Rural,1,122846.79,47352.35,True
F,18.0,936.62,Low,Working,Drivers,Semi-Urban,86684.26,336.41,3.0,714.54,0,Active,Rural,1,106848.86,56344.77,True
F,18.0,1236.55,Low,Working,Sales staff,Rural,202722.79,620.0,2.0,740.04,0,Inactive,Urban,1,355511.25,162178.23,True
M,65.0,0.0,High,Pensioner,Retired,Semi-Urban,75834.97,441.79,1.0,831.45,0,Inactive,Urban,1,91827.56,56876.23,True
F,55.0,3065.86,Low,Working,Core staff,Semi-Urban,235537.77,647.84,3.0,752.57,0,Active,Urban,1,369850.44375,164876.44,True
M,20.0,1607.69,Low,Working,Not available,Semi-Urban,41145.84,188.43,1.0,727.72,0,Unpossessed,Rural,1,59503.79,26744.8,True
F,27.0,1322.23,Low,Working,Core staff,Rural,66647.24,299.25,2.0,777.35,0,Unpossessed,Urban,1,86758.51,49985.43,True
M,48.0,1678.09,Low,Working,Laborers,Semi-Urban,37662.62,426.44,2.0,727.29,0,Unpossessed,Rural,1,64136.75,24480.7,True
M,62.0,2659.67,High,Pensioner,Retired,Semi-Urban,77419.92,269.78,1.0,855.81,0,Active,Semi-Urban,1,130140.37,58064.94,True
F,23.0,2577.92,Low,Working,Laborers,Semi-Urban,230113.44,797.9,4.0,698.65,0,Active,Semi-Urban,1,369850.44375,161079.41,True
M,62.0,5351.7775,Low,Working,Laborers,Semi-Urban,246597.03749999998,946.50875,2.0,787.93,0,Inactive,Semi-Urban,1,369850.44375,177270.41499999998,True
M,41.0,0.0,Low,Working,Not available,Rural,46519.69,274.33,0.0,715.31,0,Active,Urban,1,52888.64,32563.78,True
M,18.0,2462.42,Low,Working,Core staff,Semi-Urban,42179.89,302.85,4.0,840.04,0,Inactive,Urban,1,64347.9,31634.92,True
M,53.0,2100.74,Low,State servant,Accountants,Semi-Urban,67545.07,240.26,2.0,800.16,0,Unpossessed,Urban,1,111736.29,54036.06,True
F,65.0,1826.46,High,Pensioner,Retired,Semi-Urban,120926.92,438.84,1.0,740.04,0,Active,Semi-Urban,1,166400.45,84648.84,True
M,18.0,0.0,Low,State servant,Core staff,Rural,136756.06,628.37,4.0,821.86,0,Unpossessed,Rural,1,251012.63,109404.85,True
M,18.0,1650.46,Low,Commercial associate,Laborers,Semi-Urban,43949.29,142.07,2.0,727.78,0,Inactive,Urban,1,55699.88,30764.5,True
F,57.0,4506.43,Low,State servant,Not available,Semi-Urban,94795.17,946.50875,0.0,865.58,0,Active,Rural,1,117839.32,66356.62,True
M,39.0,1845.49,Low,Working,Low-skill Laborers,Rural,28262.98,139.95,3.0,669.66,0,Unpossessed,Urban,1,45545.62,19784.09,True
M,46.0,1328.61,Low,Commercial associate,Private service staff,Semi-Urban,83898.46,398.03,4.0,698.54,1,Unpossessed,Rural,1,102282.62,54534.0,True
M,53.0,3933.38,Low,Commercial associate,Security staff,Semi-Urban,108368.58,475.68,2.0,746.27,0,Unpossessed,Urban,1,127126.27,75858.01,True
F,45.0,865.41,Low,Working,High skill tech staff,Semi-Urban,53154.33,216.29,3.0,783.98,0,Unpossessed,Semi-Urban,1,92140.79,42523.46,True
M,56.0,2819.71,Low,Working,Laborers,Rural,81955.97,311.89,2.0,680.41,0,Unpossessed,Urban,1,149134.84,57369.18,True
M,36.0,1587.5,Low,Working,Laborers,Rural,77594.57,254.94,0.0,794.74,0,Active,Rural,1,138424.01,58195.93,True
M,18.0,0.0,Low,Commercial associate,Laborers,Urban,246597.03749999998,946.50875,0.0,769.28,0,Inactive,Urban,1,344872.79,177270.41499999998,True
F,34.0,930.65,Low,Working,Laborers,Semi-Urban,147198.51,431.84,2.0,773.41,0,Active,Semi-Urban,1,238443.3,103038.96,True
F,45.0,4100.41,Low,Working,Laborers,Semi-Urban,226318.9,587.57,4.0,734.39,0,Active,Semi-Urban,1,334190.87,147107.28,True
M,34.0,4874.3,Low,Working,Managers,Semi-Urban,123114.38,484.77,2.0,656.21,0,Active,Semi-Urban,1,169380.56,86180.07,True
F,56.0,1388.99,Low,Working,Not available,Semi-Urban,67783.35,529.92,3.0,701.27,0,Active,Semi-Urban,1,80305.66,47448.34,True
F,63.0,0.0,Low,Working,Accountants,Urban,64916.81,303.65,4.0,820.76,0,Inactive,Urban,1,75311.08,51933.45,True
M,42.0,1002.43,Low,Working,High skill tech staff,Rural,32556.81,255.85,1.0,665.88,0,Active,Rural,1,47694.56,22789.77,True
F,58.0,2446.91,Low,Commercial associate,Managers,Rural,121564.41,388.79,1.0,811.91,0,Inactive,Urban,1,154407.37,97251.53,True
M,42.0,0.0,Low,Working,Realty agents,Semi-Urban,75992.65,408.73,1.0,656.0,0,Active,Rural,1,96359.35,49395.22,True
F,65.0,1123.46,High,Pensioner,Retired,Semi-Urban,45096.67,315.75,2.0,840.45,0,Unpossessed,Rural,0,83049.81,36077.34,True
F,24.0,1213.99,Low,Commercial associate,Sales staff,Semi-Urban,26149.12,124.67,2.0,719.93,0,Active,Semi-Urban,1,29412.59,18304.38,True
F,34.0,2426.79,Low,Commercial associate,Not available,Semi-Urban,65433.69,297.68,0.0,757.72,0,Active,Urban,1,108343.99,49075.27,True
M,29.0,3438.9,Low,Working,Sales staff,Semi-Urban,167375.01,608.43,3.0,750.55,0,Inactive,Urban,1,268717.92,133900.01,True
F,18.0,2431.93,Low,Commercial associate,Not available,Semi-Urban,89063.15,403.23,3.0,726.7,0,Unpossessed,Semi-Urban,1,167707.58,57891.05,True
M,65.0,5191.72,High,Pensioner,Retired,Semi-Urban,37885.36,365.64,2.0,818.1,1,Unpossessed,Semi-Urban,1,56507.73,26519.75,True
M,22.0,1989.4,Low,Working,Realty agents,Rural,48613.85,232.21,3.0,709.77,0,Inactive,Semi-Urban,1,80869.13,34029.7,True
F,58.0,1214.93,Low,Working,Sales staff,Semi-Urban,24196.4,131.93,2.0,740.04,0,Inactive,Urban,1,33255.09,18147.3,True
M,60.0,3258.15,High,Pensioner,Retired,Rural,129111.42,406.46,1.0,858.58,0,Active,Rural,1,224437.52,103289.14,True
F,37.0,3411.82,Low,Commercial associate,Accountants,Semi-Urban,127792.5,360.27,2.0,770.24,0,Inactive,Urban,1,204980.04,102234.0,True
M,39.0,4437.29,Low,Commercial associate,Core staff,Urban,163023.28,844.31,1.0,665.8,0,Unpossessed,Urban,1,260396.72,114116.3,True
F,48.0,2383.13,Low,Working,Laborers,Semi-Urban,97890.25,465.94,2.0,763.91,0,Inactive,Rural,1,107731.43,68523.18,True
M,26.0,1363.2,Low,Working,Not available,Semi-Urban,110952.73,564.44,0.0,667.3,0,Inactive,Rural,1,209353.62,72119.27,True
M,18.0,1931.42,Low,Commercial associate,Accountants,Rural,23054.82,0.0,3.0,740.04,0,Inactive,Urban,1,32068.05,16138.37,True
M,61.0,1988.59,Low,Working,Not available,Rural,47055.94,230.84,4.0,737.59,0,Active,Rural,1,66492.43,32939.16,True
M,37.0,0.0,Low,Working,Sales staff,Semi-Urban,43515.79,209.42,0.0,724.6,0,Inactive,Semi-Urban,1,64389.7,28285.26,True
F,61.0,3380.68,Low,Commercial associate,Not available,Semi-Urban,204714.63,527.71,3.0,815.51,0,Active,Rural,1,253568.79,153535.97,True
M,42.0,0.0,Low,State servant,Core staff,Semi-Urban,25435.12,130.95,0.0,665.62,1,Inactive,Rural,1,34147.06,17804.58,True
M,18.0,2413.69,Low,State servant,Not available,Semi-Urban,11684.43,113.71,2.0,740.04,0,Unpossessed,Rural,1,21724.26,8179.1,True
F,49.0,0.0,Low,Working,Core staff,Semi-Urban,37786.14,487.22,3.0,691.78,0,Active,Urban,1,44742.85,24560.99,True
M,52.0,0.0,Low,Working,Managers,Semi-Urban,231172.43,767.44,3.0,754.14,0,Unpossessed,Urban,1,326039.53,177270.41499999998,True
M,29.0,2148.76,Low,Commercial associate,Accountants,Semi-Urban,150107.08,914.21,2.0,754.07,0,Unpossessed,Rural,1,201308.31,112580.31,True
F,57.0,3294.43,Low,Working,Sales staff,Semi-Urban,54157.63,457.83,0.0,684.21,1,Active,Semi-Urban,1,92281.04,37910.34,True
F,18.0,5351.7775,Low,Working,Laborers,Rural,97173.35,459.47,2.0,766.83,0,Inactive,Urban,1,169547.62,72880.01,True
F,18.0,3518.28,Low,Working,Realty agents,Semi-Urban,18584.79,94.3,1.0,780.95,0,Unpossessed,Urban,1,26713.92,14867.83,True
F,21.0,2464.81,Low,Working,Laborers,Rural,35945.85,377.15,2.0,803.59,0,Inactive,Urban,1,52916.33,25162.09,True
F,18.0,3239.38,Low,Commercial associate,Sales staff,Semi-Urban,52116.14,320.02,4.0,712.78,0,Unpossessed,Rural,1,90188.79,36481.3,True
M,49.0,1551.92,Low,Working,Not available,Rural,54905.99,287.87,3.0,693.26,0,Unpossessed,Semi-Urban,1,63141.76,38434.19,True
M,18.0,1849.34,Low,Working,Not available,Semi-Urban,115740.66,447.26,2.0,718.84,1,Unpossessed,Rural,1,194181.88,81018.46,True
F,19.0,3440.7,Low,Commercial associate,Managers,Semi-Urban,157399.46,490.7,1.0,808.48,0,Unpossessed,Urban,1,295754.04,125919.57,True
M,65.0,1824.3,High,Pensioner,Retired,Semi-Urban,79737.96,347.62,0.0,720.22,0,Inactive,Rural,1,143036.49,51829.67,True
M,18.0,2348.9,Low,Working,Not available,Semi-Urban,201283.92,778.87,2.0,816.98,0,Inactive,Rural,1,284618.89,150962.94,True
F,52.0,3323.58,Low,State servant,Core staff,Urban,159843.56,447.14,2.0,847.98,0,Unpossessed,Semi-Urban,1,287005.75,127874.85,True
M,18.0,3010.34,Low,Commercial associate,Sales staff,Semi-Urban,35121.21,281.17,3.0,678.22,0,Active,Urban,1,46165.92,24584.85,True
M,18.0,2069.1,Low,Working,Sales staff,Semi-Urban,142390.19,440.99,0.0,831.58,0,Active,Semi-Urban,1,227949.6,99673.13,True
F,61.0,2498.39,Low,State servant,Not available,Semi-Urban,132913.76,946.50875,1.0,775.81,0,Inactive,Semi-Urban,1,196447.86,99685.32,True
M,30.0,0.0,Low,Commercial associate,Managers,Urban,27665.83,136.62,1.0,740.04,1,Inactive,Urban,1,47153.35,22132.66,True
F,21.0,1964.58,Low,Working,Core staff,Semi-Urban,40023.59,366.11,4.0,766.55,0,Active,Semi-Urban,1,63380.21,32018.87,True
F,59.0,1739.73,Low,Working,Managers,Rural,91551.32,500.21,2.0,675.74,0,Inactive,Semi-Urban,1,150161.02,64085.92,True
F,38.0,1976.52,Low,Commercial associate,Sales staff,Semi-Urban,39767.17,161.42,1.0,799.67,0,Active,Rural,1,73504.68,29825.38,True
F,36.0,0.0,Low,Working,Not available,Semi-Urban,13763.99,72.6,2.0,806.5,0,Active,Semi-Urban,1,17673.2,11011.19,True
F,58.0,2432.93,Low,Working,Core staff,Semi-Urban,38194.86,186.24,0.0,685.84,0,Inactive,Semi-Urban,1,57125.99,24826.66,True
F,18.0,0.0,Low,Working,High skill tech staff,Semi-Urban,246597.03749999998,946.50875,2.0,763.74,0,Active,Rural,1,369850.44375,177270.41499999998,True
M,55.0,0.0,Low,Working,Managers,Semi-Urban,137158.44,605.34,0.0,740.04,1,Active,Urban,1,185076.42,96010.91,True
M,63.0,2614.83,Low,Commercial associate,Cleaning staff,Urban,49002.51,503.29,2.0,834.56,0,Unpossessed,Rural,1,65478.26,39202.01,True
F,55.0,5351.7775,Low,Commercial associate,Not available,Semi-Urban,81788.23,577.05,2.0,790.75,0,Active,Urban,1,137298.05,61341.17,True
F,59.0,3367.01,Low,Commercial associate,Managers,Semi-Urban,178313.8,510.94,2.0,740.04,0,Unpossessed,Rural,1,205261.64,124819.66,True
F,26.0,3838.44,Low,State servant,Core staff,Urban,158715.06,667.43,1.0,678.22,0,Active,Rural,1,220850.72,103164.79,True
F,46.0,5351.7775,Low,Working,Managers,Semi-Urban,95834.23,472.13,0.0,681.95,0,Inactive,Rural,1,168798.6,62292.25,True
M,18.0,1273.08,Low,Commercial associate,Not available,Semi-Urban,28312.12,158.85,2.0,680.4,1,Unpossessed,Rural,1,49801.61,19818.48,True
F,53.0,4977.51,Low,Working,Accountants,Semi-Urban,82235.12,612.36,0.0,755.85,0,Active,Semi-Urban,1,113267.93,61676.34,True
M,29.0,4748.09,Low,Commercial associate,Security staff,Semi-Urban,246597.03749999998,946.50875,2.0,870.37,0,Active,Semi-Urban,0,369850.44375,177270.41499999998,True
F,56.0,2581.09,Low,State servant,Core staff,Semi-Urban,145688.34,439.16,3.0,777.84,0,Inactive,Semi-Urban,1,257195.53,101981.84,True
F,58.0,2194.03,Low,Commercial associate,Accountants,Semi-Urban,49786.44,251.27,2.0,718.22,0,Active,Rural,1,84963.79,32361.19,True
M,29.0,2183.62,Low,Working,Laborers,Rural,88612.59,461.42,3.0,700.83,0,Inactive,Semi-Urban,1,153053.87,62028.81,True
M,51.0,1302.24,Low,Working,Sales staff,Semi-Urban,27492.39,124.69,3.0,729.93,0,Inactive,Rural,1,51833.6,17870.05,True
F,61.0,1362.3,Low,Working,Accountants,Semi-Urban,30540.54,216.58,2.0,865.87,0,Unpossessed,Rural,1,51295.67,22905.4,True
M,39.0,0.0,Low,Commercial associate,Laborers,Semi-Urban,15652.33,141.25,4.0,743.49,0,Unpossessed,Semi-Urban,1,26325.99,10174.01,True
M,23.0,3063.98,Low,Working,High skill tech staff,Rural,81151.88,402.82,2.0,740.04,1,Inactive,Rural,1,99852.95,52748.72,True
M,53.0,2981.94,Low,Commercial associate,Not available,Semi-Urban,65261.57,323.39,2.0,868.02,0,Unpossessed,Urban,1,95776.45,48946.18,True
M,18.0,2980.76,Low,Commercial associate,Sales staff,Urban,123802.4,632.63,0.0,708.47,0,Active,Urban,1,207164.5,86661.68,True
M,64.0,3020.98,Low,State servant,Managers,Semi-Urban,103147.72,473.58,2.0,873.04,0,Active,Urban,0,123894.27,103147.72,True
F,18.0,4031.91,Low,Working,Accountants,Semi-Urban,129053.41,503.35,4.0,823.69,1,Inactive,Rural,1,238074.44,103242.73,True
M,65.0,0.0,High,Pensioner,Retired,Semi-Urban,37308.76,382.84,1.0,859.24,1,Unpossessed,Urban,1,54705.07,29847.01,True
M,65.0,1935.26,High,Pensioner,Retired,Rural,51248.02,198.76,1.0,765.75,0,Inactive,Urban,0,78271.22,35873.61,True
M,46.0,1057.81,Low,State servant,Managers,Semi-Urban,116473.62,355.88,2.0,815.3,1,Inactive,Rural,1,215668.79,81531.53,True
M,64.0,1918.86,High,Pensioner,Retired,Semi-Urban,9407.96,54.52,2.0,845.77,1,Inactive,Rural,1,14905.53,7526.37,True
M,20.0,4050.96,Low,Commercial associate,Medicine staff,Urban,78760.48,521.79,2.0,651.25,0,Active,Rural,1,122428.79,55132.34,True
F,61.0,3829.07,Low,Commercial associate,Accountants,Urban,52596.45,303.06,0.0,856.99,0,Active,Urban,1,77117.25,42077.16,True
M,21.0,5351.7775,Low,Commercial associate,Not available,Urban,106346.5,441.2,0.0,820.43,0,Inactive,Semi-Urban,1,136118.47,79759.88,True
M,18.0,2420.74,Low,Working,Sales staff,Semi-Urban,181985.13,537.24,0.0,824.51,0,Inactive,Urban,1,200599.26,136488.85,True
F,25.0,2854.74,Low,Commercial associate,Drivers,Semi-Urban,23447.13,281.75,4.0,755.56,0,Inactive,Urban,1,33899.78,16412.99,True
M,41.0,1516.85,Low,Working,Not available,Semi-Urban,67496.73,185.48,3.0,740.04,0,Inactive,Rural,1,118187.93,50622.55,True
F,18.0,2509.21,Low,Working,Laborers,Rural,34969.96,269.33,0.0,740.04,0,Inactive,Urban,1,59745.58,24478.97,True
F,22.0,2723.57,Low,Commercial associate,Core staff,Semi-Urban,116751.89,443.93,3.0,755.63,0,Inactive,Semi-Urban,1,185976.75,93401.51,True
F,29.0,1746.64,Low,Working,Laborers,Semi-Urban,79535.4,353.29,2.0,701.47,1,Inactive,Rural,1,136303.55,51698.01,True
M,37.0,1766.01,Low,Working,Drivers,Semi-Urban,167159.98,483.97,2.0,747.24,1,Inactive,Rural,1,231182.16,117011.99,True
M,23.0,1874.51,Low,Working,Sales staff,Semi-Urban,58601.27,315.96,3.0,827.01,0,Unpossessed,Semi-Urban,1,85125.5,41020.89,True
F,52.0,1538.48,Low,Working,High skill tech staff,Semi-Urban,59048.32,221.91,5.0,734.69,0,Unpossessed,Urban,1,66540.54,38381.41,True
F,55.0,2177.2,Low,Commercial associate,High skill tech staff,Semi-Urban,74209.89,345.57,0.0,829.06,0,Inactive,Semi-Urban,1,110343.3,59367.91,True
F,37.0,2173.06,Low,Working,Cooking staff,Semi-Urban,179727.43,709.02,4.0,740.04,0,Inactive,Semi-Urban,1,312012.13,116822.83,True
M,32.0,2570.82,Low,Working,Cooking staff,Semi-Urban,89601.05,429.93,2.0,774.84,0,Active,Semi-Urban,1,159770.62,67200.79,True
F,21.0,3914.97,Low,Working,Not available,Semi-Urban,116092.5,574.54,2.0,681.22,0,Inactive,Semi-Urban,1,179470.9,75460.12,True
M,45.0,0.0,Low,Commercial associate,Realty agents,Semi-Urban,23083.63,179.04,2.0,737.7,0,Unpossessed,Semi-Urban,1,36372.98,16158.54,True
F,27.0,1118.71,Low,Commercial associate,Not available,Semi-Urban,57281.52,164.62,1.0,674.85,0,Inactive,Urban,1,103372.14,37232.99,True
M,26.0,5304.23,Low,Working,Managers,Urban,105553.31,673.65,2.0,748.11,1,Inactive,Semi-Urban,1,141524.63,73887.32,True
M,48.0,1930.53,Low,Working,Cleaning staff,Urban,194108.43,606.94,2.0,838.55,0,Active,Rural,1,263700.74,145581.32,True
M,18.0,1969.04,Low,State servant,Accountants,Rural,114462.24,343.52,2.0,810.41,1,Unpossessed,Urban,1,212780.86,91569.79,True
M,29.0,2900.43,Low,Working,Sales staff,Urban,55452.73,329.07,2.0,773.81,0,Active,Rural,1,94806.86,41589.55,True
F,21.0,0.0,Low,Working,Not available,Semi-Urban,84537.71,259.94,4.0,778.85,1,Unpossessed,Urban,1,145380.52,59176.4,True
M,60.0,1777.31,Low,Working,Low-skill Laborers,Rural,163944.81,479.86,0.0,653.38,0,Inactive,Semi-Urban,1,279780.58,106564.13,True
M,55.0,2648.45,Low,Working,Sales staff,Semi-Urban,106900.35,440.04,1.0,678.3,0,Inactive,Urban,1,170409.25,74830.24,True
F,59.0,2350.05,Low,Working,Core staff,Semi-Urban,61546.92,350.95,2.0,855.47,0,Inactive,Semi-Urban,1,101548.86,49237.54,True
F,20.0,2470.33,Low,Working,High skill tech staff,Semi-Urban,88937.76,733.4,2.0,790.18,0,Active,Rural,1,164972.78,66703.32,True
M,37.0,2797.34,Low,State servant,Core staff,Rural,177827.29,518.79,1.0,680.69,0,Inactive,Rural,1,250511.15,124479.1,True
F,61.0,1015.9,High,Pensioner,Retired,Semi-Urban,82993.74,424.61,2.0,775.07,0,Inactive,Semi-Urban,0,146540.44,58095.62,True
F,24.0,1434.13,Low,Working,Managers,Semi-Urban,71845.65,322.69,4.0,832.08,0,Active,Rural,1,119303.1,53884.24,True
F,29.0,4129.38,Low,Commercial associate,Core staff,Urban,163283.85,501.53,2.0,855.58,0,Active,Rural,1,260239.33,122462.89,True
M,61.0,1336.74,Low,Pensioner,Retired,Semi-Urban,102141.38,299.26,2.0,856.41,1,Unpossessed,Semi-Urban,1,128082.1,76606.04,True
F,47.0,1883.82,Low,Working,Drivers,Rural,175767.77,472.7,2.0,744.8,0,Active,Semi-Urban,1,289365.47,123037.44,True
M,18.0,1890.13,Low,Commercial associate,Laborers,Semi-Urban,60414.15,462.66,2.0,810.36,0,Unpossessed,Semi-Urban,1,112626.62,48331.32,True
M,64.0,2039.9,Low,Working,Laborers,Semi-Urban,31967.5,226.02,3.0,713.5,0,Active,Semi-Urban,1,38997.46,22377.25,True
M,36.0,1977.52,Low,Working,Laborers,Semi-Urban,141901.48,350.82,3.0,715.68,0,Active,Semi-Urban,1,233725.91,92235.96,True
M,55.0,2621.56,Low,Working,Laborers,Rural,187525.23,549.64,3.0,735.28,0,Active,Rural,1,274175.98,121891.4,True
M,41.0,1809.2,Low,Working,Drivers,Semi-Urban,66423.8,232.4,2.0,651.49,1,Unpossessed,Rural,1,82259.65,43175.47,True
M,35.0,1939.19,Low,Working,Drivers,Semi-Urban,24044.23,265.23,3.0,674.58,0,Inactive,Rural,1,42611.87,16830.96,True
M,40.0,2567.49,Low,Working,Laborers,Semi-Urban,84069.07,248.97,2.0,687.51,0,Active,Rural,1,154979.27,58848.35,True
M,38.0,1369.56,Low,Commercial associate,Laborers,Semi-Urban,41949.81,241.98,2.0,656.5,1,Active,Rural,1,73504.82,29364.87,True
M,18.0,1313.38,Low,Working,Cleaning staff,Rural,19281.63,209.99,1.0,791.74,0,Unpossessed,Rural,1,27642.82,13497.14,True
F,20.0,5351.7775,Low,Working,Not available,Semi-Urban,57620.55,465.59,3.0,660.78,0,Inactive,Semi-Urban,1,66516.89,40334.38,True
F,18.0,1709.11,Low,Commercial associate,Drivers,Semi-Urban,18832.83,76.88,2.0,664.04,0,Active,Semi-Urban,1,23374.19,12241.34,True
F,54.0,0.0,Low,Working,Laborers,Semi-Urban,50586.16,358.44,2.0,709.84,0,Active,Rural,1,81747.46,32881.0,True
M,59.0,3837.52,Low,Working,Managers,Semi-Urban,55870.68,339.58,3.0,740.04,0,Unpossessed,Rural,1,105251.57,36315.94,True
M,50.0,1571.43,Low,Working,Accountants,Rural,14457.47,163.6,4.0,748.47,0,Unpossessed,Semi-Urban,1,20728.27,10120.23,True
M,36.0,2637.11,Low,Working,Not available,Semi-Urban,117293.52,481.5,0.0,740.04,0,Inactive,Semi-Urban,1,179362.66,76240.79,True
F,18.0,3725.96,Low,Commercial associate,Drivers,Urban,76054.06,785.71,2.0,721.09,1,Unpossessed,Semi-Urban,1,115970.91,49435.14,True
M,60.0,5351.7775,Low,Commercial associate,Not available,Semi-Urban,37695.87,196.22,2.0,849.1,0,Inactive,Semi-Urban,1,48285.79,26387.11,True
F,29.0,4304.68,Low,Working,Accountants,Semi-Urban,149541.9,391.42,3.0,759.36,1,Inactive,Rural,1,247715.74,104679.33,True
M,28.0,1971.07,Low,Commercial associate,Not available,Urban,52152.01,393.79,2.0,872.01,1,Inactive,Rural,1,67424.73,36506.41,True
